ASV_ID,Placement_Global,Placement_CyanoPlastid,Placement_Cyanobacteria,Placement_Prochlorococcus,Placement_Synechococcus,Placement_Plastids,Placement_Stramenopiles,Placement_Dictyochophytes,Placement_Pelagophytes,Placement_Viridiplantae,Placement_Prasinophytes
56552e5e476be0afba7fdb0637ecdc4d,Alteromonadaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bf0285ab6462e4a0bc120dc0231cbdd8,Alteromonadaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
952a82c471a10ec57fe67d3eef1d4aa1,Alteromonadaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8ba75566ceb1e3830a9e045d29ec1700,Alteromonadaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3580208a7d3f09b5666ddc8770bf2c4b,Alteromonadaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06cf7474f85e73d1e6308367a3d74d32,Alteromonadaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d1aa1fa6934124877b3f80d6fa73403c,Alteromonadaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7e8c18118715164b601839a603f26199,Alteromonadaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2bea6bf7b51f60174d82276af25cb45d,Alteromonadaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f4c62877ace9ffddac364230c28e5737,Alteromonadaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
928ed4af8a351780c2e09ef206df7b10,Alteromonadaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fd1f9e3c3c0ea647a5688c6fd901de86,Alteromonadaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9e12dce11d0db39e240cf704d8b76a99,Alteromonadaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2f50de05f8a948d35ec04a340efc7300,Piscirickettsiaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0cd62397c1a1aff44ba7c54e8b804caf,Piscirickettsiaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a3fb754aab0b0560f1554d60e5a5db20,Piscirickettsiaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6702068fb04c0e89a1fc974fff0a28ac,Piscirickettsiaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
388b15ef82cc3c72ea469ad9ce36f3fa,Piscirickettsiaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
db5c0161bff962eb5378223a04524e05,Pseudoalteromonas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c27240e4a671f3895c7586dc41746378,Pseudoalteromonas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b727bd978baf7b3468e7efc857c51695,Pseudoalteromonas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
adbd09ce47cee8e683c44eb705f959eb,Pseudoalteromonas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
966f3df4ee8769a8baafc4c4ba05aa47,Pseudoalteromonas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
699c02898a4c5ab965e4d431e046b344,Pseudoalteromonas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c97fa1568857027dfa19314959697b8e,Idiomarinaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8cbc38e383f7561b3330ba05c496309a,Idiomarinaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f48aaa27f2e52863814d13cf2d0b9ddb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
e76839c52894f9e34ec228fd2c505dc7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ceaea8f0f750ad302615ed88934354de,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
caa307fbdf89cccca26a09e23acee8b2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a90e96d6d552b1e54cf1ec9c5cc26398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a3cb2b2290cb4a0d0633d9af8e8651d3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97c1eb9a93141714db9e62d6afa90980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8e3a8fc7c0411483af0dbe41c4f1f3d2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89664258ee4940f2cf030ead6d6a1c69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60a9a646c11a3545b3b495a4376c5c6a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5db2ada58425ebd0c7f3bd33c7953ecd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5d90fd20e407453463f4ecad5e138684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
553627de69a553b232ca3f88eaf02d0e,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
430c9ad00ec397b39fc0f945f2c78675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3d7b808735d2662c857630b80c52210d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31dc6ab40a92b3faf1f701b93c49b0ba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
311eb95d0c9c653ddb200f078f5beb9f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10257e58347b6cda99637ba26268cea3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
09cc755156164c4ee97693e36f172b5c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d58e8563e6a6d8f300c4fde3f9e6c931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4debcefd4ea45796f67978df3aea5b65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23636736b3bf08c7f8f05bfbfc79471c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
009e55737f519fd621e93092dfcc190b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a37c7f3dabec5aeaf62151ddc4811fb0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47726c6c9e9579d7796ccfb22ac40e5b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6da719f6d61bfb1dc9eaa6faa0641525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51c12c64253b4fe524155d80e7a0fd34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1ca5ed4b198f1b8c5fdf5c31f47635ba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ec59f65c982654fc2f0e90ea82eaacb0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
e46fc9bc375ca788eea88e3e7fa4e20c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ce81559550ff9af34a6ab193ae16fa94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bc7cfa3cc797dfec8d62379926db70ac,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b711de737e2fabd5c88b42ab244d271e,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ac567ad56e4082a2ade94608b1a183ed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ac2c9adbfb34919d0ef5c4bc398fde17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a3013ed3e797ceb43bca2c25d2304e6b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8d75994bff517f45caff9d2d231e49c8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8be63586704468058994ea964ca6d042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89a2600b795daa699740746baa36340b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
887939984306393153b8be23531547d5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65dc4e24c9708961704f96b8686a5034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47087725f31f250f85126bcf649e3080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43d26731709bf04d55bf4a0c7fc6aab3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38ec8213f27ec6f224ad544a075fefdc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27369c7179a2bca05e72da6fa754c2f6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1784f472770e179d35328dc5ba1a54b3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16d8c5b9ca91634c17ffb43ac9ef71c8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0713c652e08eb16068144ba2f411f31c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06a02a720da63e3509034f16c15f9f9c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
009947dc631d5d72bf932b13ad912f8c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c8be6cc8947262d32f7fbdc52cbb9c9d,Shewanella_Moritella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3fa61a4cd5be19f2452fd3b470b9cfd9,Shewanella_Moritella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4c17e353b7f1b986ce5f73795b5ee503,Shewanella_Moritella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b44704e60df2a6fc5343beca7ce0b1af,Acinetobacter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
e16d3565793608ab3433a85376978894,Acinetobacter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d84df7c221e26cce01111b75606b0da9,Acinetobacter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
