ASV_ID,Bengal-C10N17,Bengal-C10N23,Bengal-C11N11,Bengal-C11N23,Bengal-C12N13A,Bengal-C12N13B,Bengal-C12N23A,Bengal-C12N23B,Bengal-C13N11,Bengal-C13N23,Bengal-C14N10A,Bengal-C14N10B,Bengal-C14N23A,Bengal-C14N23B,Bengal-C15N23A,Bengal-C15N23B,Bengal-C16N11,Bengal-C16N23,Bengal-C17N15,Bengal-C17N23,Bengal-C18N17,Bengal-C18N23,Bengal-C1N17,Bengal-C1N23,Bengal-C2N17,Bengal-C2N23,Bengal-C3N17,Bengal-C3N23,Bengal-C4N17A,Bengal-C4N17B,Bengal-C4N17C,Bengal-C4N23,Bengal-C5N13,Bengal-C5N23,Bengal-C6N17,Bengal-C6N23,Bengal-C7N13,Bengal-C7N23,Bengal-C8N13,Bengal-C8N23,Bengal-C9N11,Bengal-C9N23
78d948c3adde7dabfda48255800b18cb,0,0,0,0,0,0,0,0,0,0,107,28,0,0,0,0,0,0,0,0,0,0,84,0,32,0,36,0,16,257,49,0,0,0,0,0,0,0,0,0,0,0
1a77202e6789d8c2cba2f325388f8446,28,0,0,0,122,35,0,0,52,0,0,0,0,0,0,0,70,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,33,41,0,47,0,85,0,0,0
c06d8c3d22f019bc978c54eb9b5e3e79,0,0,0,0,0,0,0,25,0,0,0,0,0,0,70,92,0,48,0,199,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0
360c57f729b4b10f13b1ee8430798d9c,20,0,9,0,128,18,0,0,56,0,18,0,0,0,0,0,55,0,16,0,49,0,0,0,0,0,0,0,0,0,0,0,0,25,29,0,61,0,70,0,52,0
9277674dfcb67c401e786644f7dce20c,21,0,19,0,111,0,0,0,51,0,0,0,0,0,0,0,37,0,23,0,46,0,0,0,0,0,22,0,0,0,0,0,0,30,95,0,95,0,20,0,35,0
9dcd6fce2caf21fe8ad5b30626dfaeff,0,0,0,0,103,0,0,0,60,0,0,0,0,0,0,0,71,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,41,0,101,0,93,0
674edc949358ffc3574b06793cbb4ad9,27,0,0,0,66,0,0,0,57,0,53,0,0,0,0,0,46,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,76,0,63,0,60,0
1f20de35038eb439076aa89f2526ab88,75,0,16,0,50,0,0,0,59,0,147,22,0,0,0,0,37,0,54,0,14,0,0,0,0,0,0,0,0,8,0,0,0,15,70,0,0,0,21,0,15,0
51af68b11cd41618eff63404e041b93f,8,0,0,0,89,13,0,0,0,0,186,38,0,0,0,0,0,0,32,0,8,0,20,0,0,0,36,0,0,95,0,0,0,13,54,0,11,0,0,0,0,0
9ae4d628ba0be94aa003a09d72896f09,0,0,0,0,0,15,6,12,41,14,140,41,26,0,0,10,0,15,0,0,0,0,0,0,32,8,0,30,0,66,0,0,16,0,77,0,52,0,0,0,0,0
0dea75fe00f1dd3ce37e53555168962a,0,63,0,44,0,0,10,79,0,31,0,0,58,0,38,64,0,30,0,32,0,16,0,0,0,11,0,0,0,0,0,21,0,0,0,18,0,18,0,47,0,19
