name	edge_num	taxon	like_weight_ratio
seq57936	886	vir	0.464465
seq6699	884	vir	1
seq10671	886	vir	0.397751
seq9259	890	vir	0.216907
seq6637	896	vir	0.41657
seq31106	882	vir	1
seq23842	887	vir	0.92579
seq10160	975	vir	0.439023
seq7902	887	vir	0.613976
seq64087	970	vir	0.403532
seq54768	975	vir	0.60159
seq28526	889	vir	0.390828
seq40986	970	vir	0.782273
seq58077	887	vir	0.935593
seq23645	923	vir	0.218798
seq7304	887	vir	0.691009
seq8955	1377	mel	0.612849
seq14430	967	vir	0.470374
seq31464	973	vir	0.280771
seq36607	1135	cya	0.316902
seq41370	923	vir	0.182046
seq54772	882	vir	0.716521
seq22651	975	vir	0.745121
seq41743	887	vir	0.627827
seq21117	974	vir	0.547159
seq57702	923	vir	0.184975
seq41602	890	vir	0.240143
seq42267	922	vir	0.449578
seq10851	975	vir	0.802999
seq21187	970	vir	0.34858
seq54824	882	vir	1
seq42527	1292	cya	0.606404
seq7440	975	vir	0.780751
seq7594	923	vir	0.183379
seq41299	923	vir	0.256733
seq5832	975	vir	0.674339
seq62833	922	vir	0.748662
seq6798	916	vir	0.295634
seq7069	970	vir	0.403014
seq31642	923	vir	0.211863
seq2826	881	vir	1
seq41200	881	vir	1
seq23215	881	vir	0.368026
seq27257	879	vir	1
seq30496	879	vir	1
seq17968	879	vir	1
seq54108	878	vir	0.520266
seq4316	882	vir	0.901697
seq13793	880	vir	0.533114
seq26234	878	vir	0.835451
seq41081	878	vir	0.402922
seq2765	878	vir	0.491346
seq8865	876	vir	0.95581
seq60058	878	vir	0.418305
seq42696	878	vir	0.40317
seq27234	878	vir	0.40417
seq34374	878	vir	0.497514
seq36519	877	vir	0.333515
seq7413	890	vir	0.543866
seq6595	975	vir	0.478935
seq54252	873	vir	1
seq8472	873	vir	1
seq3870	873	vir	1
seq64690	1096	cya	0.804146
seq57827	873	vir	1
seq56795	887	vir	0.507243
seq21417	890	vir	0.314119
seq32348	890	vir	0.547487
seq22207	982	vir	0.622471
seq22712	890	vir	0.435198
seq52758	873	vir	1
seq7945	1377	mel	0.989231
seq9600	872	vir	1
seq30942	926	vir	0.551168
seq10961	872	vir	0.893962
seq30570	872	vir	1
seq17508	872	vir	1
seq18252	882	vir	0.369719
seq8997	889	vir	0.328291
seq31992	887	vir	0.449079
seq42836	872	vir	1
seq37723	872	vir	1
seq30308	872	vir	1
seq13932	872	vir	0.532068
seq10144	887	vir	0.380862
seq42851	872	vir	1
seq9509	974	vir	0.288357
seq62229	1377	mel	0.985078
seq42562	887	vir	0.598073
seq57357	887	vir	0.370046
seq58190	916	vir	0.807118
